Symbol,DATE,CLOSE
RELIANCE,09-Mar-20,1114.15
SBIN,09-Mar-20,253.45
ICICIBANK,09-Mar-20,457.75
HDFCBANK,09-Mar-20,1107.3
BPCL,09-Mar-20,423.85
YESBANK,09-Mar-20,21.25
BAJFINANCE,09-Mar-20,8207.1
INDUSINDBK,09-Mar-20,903.1
HDFC,09-Mar-20,2027.9
TCS,09-Mar-20,1972.35
AXISBANK,09-Mar-20,623.55
LT,09-Mar-20,1101.95
TATAMOTORS,09-Mar-20,105.7
KOTAKBANK,09-Mar-20,1578.15
BHARTIARTL,09-Mar-20,496.25
INFY,09-Mar-20,704.45
POWERGRID,09-Mar-20,180.95
MARUTI,09-Mar-20,6201.1
ONGC,09-Mar-20,74.55
TATASTEEL,09-Mar-20,322.3
ASIANPAINT,09-Mar-20,1867.15
HINDUNILVR,09-Mar-20,2121.5
SUNPHARMA,09-Mar-20,393.35
NTPC,09-Mar-20,102.9
ZEEL,09-Mar-20,194.45
COALINDIA,09-Mar-20,157.95
ITC,09-Mar-20,177.2
VEDL,09-Mar-20,94.9
EICHERMOT,09-Mar-20,17885.8
IOC,09-Mar-20,99.4
DRREDDY,09-Mar-20,3061.25
BAJAJFINSV,09-Mar-20,8207.1
TITAN,09-Mar-20,1203.45
TECHM,09-Mar-20,704.8
ULTRACEMCO,09-Mar-20,4097.35
UPL,09-Mar-20,513
M&M,09-Mar-20,463.2
HCLTECH,09-Mar-20,540.45
NESTLEIND,09-Mar-20,16031.35
WIPRO,09-Mar-20,214.4
BAJAJ-AUTO,09-Mar-20,2573.35
BRITANNIA,09-Mar-20,2996.5
JSWSTEEL,09-Mar-20,229.05
GRASIM,09-Mar-20,634.6
GAIL,09-Mar-20,100.45
HEROMOTOCO,09-Mar-20,1956.05
HINDALCO,09-Mar-20,143.45
INFRATEL,09-Mar-20,211
CIPLA,09-Mar-20,426.15
ADANIPORTS,09-Mar-20,321.9
RELIANCE,06-Mar-20,1271
SBIN,06-Mar-20,270.5
ICICIBANK,06-Mar-20,486.35
HDFCBANK,06-Mar-20,1134.9
BPCL,06-Mar-20,403.1
YESBANK,06-Mar-20,16.15
BAJFINANCE,06-Mar-20,8603.2
INDUSINDBK,06-Mar-20,1014.8
HDFC,06-Mar-20,2109.45
TCS,06-Mar-20,2116.45
AXISBANK,06-Mar-20,657.65
LT,06-Mar-20,1158.9
TATAMOTORS,06-Mar-20,114.2
KOTAKBANK,06-Mar-20,1631.05
BHARTIARTL,06-Mar-20,519.15
INFY,06-Mar-20,738.95
POWERGRID,06-Mar-20,190.6
MARUTI,06-Mar-20,6445.95
ONGC,06-Mar-20,88.5
TATASTEEL,06-Mar-20,351.5
ASIANPAINT,06-Mar-20,1877.45
HINDUNILVR,06-Mar-20,2188.9
SUNPHARMA,06-Mar-20,400.9
NTPC,06-Mar-20,105.15
ZEEL,06-Mar-20,221.15
COALINDIA,06-Mar-20,168.75
ITC,06-Mar-20,181.75
VEDL,06-Mar-20,111.05
EICHERMOT,06-Mar-20,17743.55
IOC,06-Mar-20,100.8
DRREDDY,06-Mar-20,3170.95
BAJAJFINSV,06-Mar-20,8603.2
TITAN,06-Mar-20,1242.6
TECHM,06-Mar-20,740.4
ULTRACEMCO,06-Mar-20,4167.85
UPL,06-Mar-20,513.6
M&M,06-Mar-20,471
HCLTECH,06-Mar-20,566.2
NESTLEIND,06-Mar-20,16429.3
WIPRO,06-Mar-20,223.55
BAJAJ-AUTO,06-Mar-20,2735.05
BRITANNIA,06-Mar-20,3081.4
JSWSTEEL,06-Mar-20,238.8
GRASIM,06-Mar-20,665.05
GAIL,06-Mar-20,107.8
HEROMOTOCO,06-Mar-20,2038.3
HINDALCO,06-Mar-20,150.1
INFRATEL,06-Mar-20,203.7
CIPLA,06-Mar-20,434.4
ADANIPORTS,06-Mar-20,341.4
RELIANCE,05-Mar-20,1311.15
SBIN,05-Mar-20,288.5
ICICIBANK,05-Mar-20,504.5
HDFCBANK,05-Mar-20,1151.35
BPCL,05-Mar-20,418.4
YESBANK,05-Mar-20,36.8
BAJFINANCE,05-Mar-20,8879.9
INDUSINDBK,05-Mar-20,1075
HDFC,05-Mar-20,2195.05
TCS,05-Mar-20,2125.05
AXISBANK,05-Mar-20,677.9
LT,05-Mar-20,1182.45
TATAMOTORS,05-Mar-20,125.75
KOTAKBANK,05-Mar-20,1651.35
BHARTIARTL,05-Mar-20,526.9
INFY,05-Mar-20,754.6
POWERGRID,05-Mar-20,195.95
MARUTI,05-Mar-20,6365.95
ONGC,05-Mar-20,92.6
TATASTEEL,05-Mar-20,375.75
ASIANPAINT,05-Mar-20,1874.45
HINDUNILVR,05-Mar-20,2218
SUNPHARMA,05-Mar-20,404.9
NTPC,05-Mar-20,107.85
ZEEL,05-Mar-20,238.15
COALINDIA,05-Mar-20,177.15
ITC,05-Mar-20,188.05
VEDL,05-Mar-20,117.1
EICHERMOT,05-Mar-20,17775.35
IOC,05-Mar-20,104.8
DRREDDY,05-Mar-20,3184.45
BAJAJFINSV,05-Mar-20,8879.9
TITAN,05-Mar-20,1259.15
TECHM,05-Mar-20,756.1
ULTRACEMCO,05-Mar-20,4205.55
UPL,05-Mar-20,516.05
M&M,05-Mar-20,479.3
HCLTECH,05-Mar-20,576.4
NESTLEIND,05-Mar-20,16576.3
WIPRO,05-Mar-20,229.7
BAJAJ-AUTO,05-Mar-20,2703.65
BRITANNIA,05-Mar-20,3127.15
JSWSTEEL,05-Mar-20,247.15
GRASIM,05-Mar-20,680.3
GAIL,05-Mar-20,106.8
HEROMOTOCO,05-Mar-20,2063.9
HINDALCO,05-Mar-20,155.5
INFRATEL,05-Mar-20,214.7
CIPLA,05-Mar-20,440.6
ADANIPORTS,05-Mar-20,349.15
RELIANCE,04-Mar-20,1339.7
SBIN,04-Mar-20,285.3
ICICIBANK,04-Mar-20,508.35
HDFCBANK,04-Mar-20,1148.85
BPCL,04-Mar-20,418.7
YESBANK,04-Mar-20,29.3
BAJFINANCE,04-Mar-20,8799.7
INDUSINDBK,04-Mar-20,1065.95
HDFC,04-Mar-20,2206.05
TCS,04-Mar-20,2083.2
AXISBANK,04-Mar-20,682.2
LT,04-Mar-20,1176.65
TATAMOTORS,04-Mar-20,126.2
KOTAKBANK,04-Mar-20,1607.95
BHARTIARTL,04-Mar-20,516.75
INFY,04-Mar-20,758.75
POWERGRID,04-Mar-20,197.05
MARUTI,04-Mar-20,6384.35
ONGC,04-Mar-20,92.8
TATASTEEL,04-Mar-20,377.15
ASIANPAINT,04-Mar-20,1847.95
HINDUNILVR,04-Mar-20,2175.85
SUNPHARMA,04-Mar-20,405.45
NTPC,04-Mar-20,107.95
ZEEL,04-Mar-20,251.75
COALINDIA,04-Mar-20,178.1
ITC,04-Mar-20,187.5
VEDL,04-Mar-20,119.35
EICHERMOT,04-Mar-20,17254.2
IOC,04-Mar-20,106.6
DRREDDY,04-Mar-20,3171.35
BAJAJFINSV,04-Mar-20,8799.7
TITAN,04-Mar-20,1250.95
TECHM,04-Mar-20,771.3
ULTRACEMCO,04-Mar-20,4172.8
UPL,04-Mar-20,511.6
M&M,04-Mar-20,474.65
HCLTECH,04-Mar-20,563.1
NESTLEIND,04-Mar-20,16541.5
WIPRO,04-Mar-20,228.85
BAJAJ-AUTO,04-Mar-20,2711.5
BRITANNIA,04-Mar-20,3063.05
JSWSTEEL,04-Mar-20,245.6
GRASIM,04-Mar-20,689.5
GAIL,04-Mar-20,106.05
HEROMOTOCO,04-Mar-20,2046.35
HINDALCO,04-Mar-20,160.6
INFRATEL,04-Mar-20,221.05
CIPLA,04-Mar-20,447.65
ADANIPORTS,04-Mar-20,345.95
RELIANCE,03-Mar-20,1342.85
SBIN,03-Mar-20,289.85
ICICIBANK,03-Mar-20,514.75
HDFCBANK,03-Mar-20,1181.8
BPCL,03-Mar-20,425
YESBANK,03-Mar-20,31.2
BAJFINANCE,03-Mar-20,8963.65
INDUSINDBK,03-Mar-20,1108.05
HDFC,03-Mar-20,2191.4
TCS,03-Mar-20,2036.2
AXISBANK,03-Mar-20,687.15
LT,03-Mar-20,1181.3
TATAMOTORS,03-Mar-20,130.35
KOTAKBANK,03-Mar-20,1626.3
BHARTIARTL,03-Mar-20,520.8
INFY,03-Mar-20,747
POWERGRID,03-Mar-20,191.7
MARUTI,03-Mar-20,6386.05
ONGC,03-Mar-20,93.35
TATASTEEL,03-Mar-20,387.55
ASIANPAINT,03-Mar-20,1800.55
HINDUNILVR,03-Mar-20,2166.65
SUNPHARMA,03-Mar-20,393.55
NTPC,03-Mar-20,108.9
ZEEL,03-Mar-20,251.1
COALINDIA,03-Mar-20,178.2
ITC,03-Mar-20,193.85
VEDL,03-Mar-20,119.55
EICHERMOT,03-Mar-20,17888.45
IOC,03-Mar-20,106.65
DRREDDY,03-Mar-20,3043.7
BAJAJFINSV,03-Mar-20,8963.65
TITAN,03-Mar-20,1247
TECHM,03-Mar-20,752.3
ULTRACEMCO,03-Mar-20,4299.9
UPL,03-Mar-20,521.55
M&M,03-Mar-20,466.25
HCLTECH,03-Mar-20,565.05
NESTLEIND,03-Mar-20,16359.4
WIPRO,03-Mar-20,223.7
BAJAJ-AUTO,03-Mar-20,2692.25
BRITANNIA,03-Mar-20,3026.5
JSWSTEEL,03-Mar-20,246.45
GRASIM,03-Mar-20,700.05
GAIL,03-Mar-20,103.2
HEROMOTOCO,03-Mar-20,2054.85
HINDALCO,03-Mar-20,159.3
INFRATEL,03-Mar-20,219.35
CIPLA,03-Mar-20,425.3
ADANIPORTS,03-Mar-20,347.3
RELIANCE,02-Mar-20,1316.15
SBIN,02-Mar-20,287.4
ICICIBANK,02-Mar-20,506.1
HDFCBANK,02-Mar-20,1179.6
BPCL,02-Mar-20,412.35
YESBANK,02-Mar-20,31.55
BAJFINANCE,02-Mar-20,8914.5
INDUSINDBK,02-Mar-20,1079.25
